N,P,K,temperature,humidity,ph,rainfall,label
21.53,64.82,22.57,29.16,62.88,7.1,63.35,blackgram
95.99,32.86,32.19,24.42,64.99,6.6,190.15,coffee
27.28,118.25,199.84,24.01,82.21,5.76,68.1,grapes
20.53,53.13,24.25,29.0,85.06,6.32,58.77,mungbean
103.59,30.1,24.04,25.2,59.81,7.23,175.6,coffee
19.13,71.83,18.49,21.51,23.99,5.65,78.13,kidneybeans
142.2,51.29,19.49,23.95,78.95,6.28,79.63,cotton
19.19,112.26,195.79,22.31,91.88,6.01,115.26,apple
116.88,84.03,51.82,25.4,83.22,5.94,106.39,banana
37.75,61.7,27.34,27.32,63.93,6.91,68.0,blackgram
95.87,27.15,49.53,26.2,81.18,6.13,48.18,watermelon
35.72,15.61,30.43,28.41,96.39,5.85,187.17,coconut
10.71,64.79,24.31,21.7,63.49,6.08,38.93,lentil
20.71,28.52,18.06,19.57,91.87,6.49,106.85,orange
54.86,70.67,52.22,33.03,92.5,6.68,95.13,papaya
19.62,66.06,22.95,28.42,44.69,6.05,116.93,pigeonpeas
22.06,17.68,14.08,16.15,93.28,7.82,109.14,orange
96.57,48.14,36.48,22.14,82.22,6.41,268.07,rice
100.87,21.0,47.95,29.22,91.0,6.28,22.24,muskmelon
17.88,78.42,22.33,26.38,61.36,5.06,125.26,pigeonpeas
109.77,9.46,49.49,28.08,91.62,6.6,27.8,muskmelon
27.65,18.11,29.35,26.46,92.29,5.72,194.12,coconut
81.38,44.74,40.25,24.81,73.0,6.05,158.4,jute
113.53,90.92,53.61,27.01,80.08,6.22,108.66,banana
42.14,61.76,24.33,28.41,64.9,6.96,62.04,blackgram
58.99,53.7,49.66,37.63,93.97,6.68,247.88,papaya
92.09,88.85,48.99,23.9,74.88,6.32,108.08,banana
123.48,58.63,24.57,23.42,80.63,5.71,88.25,cotton
103.09,35.68,53.53,25.48,85.35,6.78,41.87,watermelon
14.28,8.62,11.74,21.5,93.56,7.38,113.03,orange
86.65,26.97,34.85,26.88,57.43,6.83,174.97,coffee
58.38,66.1,85.32,18.98,16.55,6.55,67.88,chickpea
99.5,48.81,37.73,22.49,86.89,5.94,210.67,rice
22.21,42.95,20.8,31.31,46.05,8.37,39.57,mothbeans
18.63,9.32,11.92,17.08,93.63,7.2,109.65,orange
20.77,23.8,38.28,32.64,46.69,5.48,99.39,mango
93.87,22.45,33.79,23.72,49.66,6.32,155.74,coffee
29.02,33.77,19.59,28.29,51.37,7.88,54.37,mothbeans
29.74,67.89,20.27,27.3,64.56,6.9,66.8,blackgram
12.06,25.17,48.85,21.76,89.27,6.02,114.49,pomegranate
74.77,54.06,18.24,19.33,57.22,6.48,68.99,maize
24.73,44.18,16.08,28.69,63.84,3.76,49.76,mothbeans
114.75,52.26,16.23,23.58,75.57,5.99,86.42,cotton
27.0,49.29,49.24,36.5,93.11,6.81,124.87,papaya
14.61,70.66,23.72,38.29,45.96,6.06,167.09,pigeonpeas
27.23,40.07,22.63,29.14,39.71,4.25,48.91,mothbeans
21.77,62.3,19.83,17.25,22.02,5.94,77.75,kidneybeans
118.58,27.12,27.47,25.33,48.87,6.74,185.26,coffee
45.38,71.97,25.99,35.46,63.28,7.36,66.92,blackgram
32.04,66.4,20.21,23.61,67.82,5.92,40.97,lentil
16.59,15.71,30.4,26.96,101.1,5.79,211.54,coconut
99.92,57.4,40.19,21.99,88.81,5.95,208.88,rice
22.91,15.08,11.57,20.43,92.85,6.14,115.19,orange
129.14,15.42,47.29,28.68,95.15,6.29,24.34,muskmelon
120.27,31.47,47.92,25.29,83.41,6.89,42.18,watermelon
32.4,67.38,19.34,18.54,21.82,5.6,98.93,kidneybeans
95.03,31.92,51.02,24.89,82.09,6.13,48.2,watermelon
110.73,77.17,52.41,27.73,84.63,5.9,99.51,banana
32.47,64.58,21.6,26.6,53.24,5.03,152.56,pigeonpeas
9.0,32.58,18.76,30.19,33.26,3.15,54.28,mothbeans
107.85,71.39,51.79,26.09,81.77,6.19,113.04,banana
75.49,60.54,36.76,26.46,86.08,6.48,155.15,jute
131.49,48.56,20.5,25.44,81.45,6.83,58.06,cotton
33.05,20.27,41.38,22.85,88.68,6.25,111.99,pomegranate
31.31,65.19,13.5,25.72,39.61,4.73,112.88,pigeonpeas
48.07,61.42,90.48,19.51,18.59,7.28,82.94,chickpea
79.04,54.68,18.24,22.42,73.85,6.01,107.66,maize
27.96,19.74,27.89,26.04,95.7,5.95,233.54,coconut
36.63,31.62,39.64,20.96,90.36,5.99,118.46,pomegranate
94.24,48.62,34.25,20.85,88.42,6.37,232.53,rice
22.87,77.44,21.7,26.85,44.81,5.54,162.85,pigeonpeas
35.27,126.64,200.6,23.08,83.67,5.83,65.2,grapes
39.78,74.51,19.53,31.82,65.88,6.88,63.64,blackgram
24.73,13.83,30.83,28.14,93.57,6.04,212.81,coconut
38.49,66.28,94.59,19.59,12.6,6.5,81.46,chickpea
45.05,71.42,16.9,26.24,63.14,6.5,68.77,blackgram
20.91,20.51,30.41,25.67,96.15,5.72,206.13,coconut
82.44,43.97,16.8,24.46,68.25,6.21,108.08,maize
100.12,76.37,51.85,29.44,80.86,6.48,97.37,banana
30.58,50.13,20.67,27.32,47.78,6.55,53.43,mothbeans
99.43,85.93,46.65,25.2,79.71,6.47,104.43,banana
42.27,62.59,16.55,19.03,22.08,5.72,103.17,kidneybeans
35.44,25.83,47.44,19.12,88.89,6.14,109.43,pomegranate
44.04,67.35,81.85,19.32,15.23,6.7,76.52,chickpea
30.92,23.92,26.82,28.86,97.61,5.77,220.97,coconut
20.88,15.96,8.26,19.43,91.09,6.94,104.63,orange
30.11,70.05,19.23,23.52,41.13,6.08,186.87,pigeonpeas
94.85,79.65,50.85,27.3,72.39,6.26,112.18,banana
84.67,75.45,52.43,28.03,80.91,5.57,103.21,banana
22.82,133.53,199.79,23.56,90.06,6.17,118.65,apple
27.47,71.68,17.27,17.82,22.04,5.86,81.33,kidneybeans
102.33,25.91,50.79,28.43,92.51,6.35,23.12,muskmelon
32.06,48.7,24.87,30.78,80.05,6.76,54.76,mungbean
13.0,39.89,20.4,26.21,48.85,6.81,35.24,mothbeans
28.01,29.09,32.55,28.17,97.57,5.91,173.56,coconut
69.3,37.97,18.27,22.4,66.22,6.16,89.4,maize
1.17,131.81,193.26,21.78,92.5,5.98,103.67,apple
10.73,12.32,26.35,26.92,96.14,5.94,171.73,coconut
28.6,86.16,20.92,17.95,22.38,5.81,90.25,kidneybeans
17.68,55.65,21.66,26.89,52.51,5.94,44.13,mothbeans
17.75,47.07,20.91,32.12,76.83,7.18,59.87,mungbean
17.51,70.74,22.16,24.51,67.88,5.79,47.34,lentil
110.68,32.04,49.84,24.56,82.5,6.57,48.78,watermelon
30.42,48.2,22.52,30.15,82.6,6.64,54.6,mungbean
20.22,70.36,14.78,24.72,49.69,5.18,121.9,pigeonpeas
16.35,56.95,15.52,21.06,42.91,6.97,134.22,pigeonpeas
25.58,63.79,19.59,27.87,28.71,6.04,120.61,pigeonpeas
17.23,66.4,24.15,18.54,21.35,5.59,77.3,kidneybeans
78.33,48.42,23.02,20.66,66.84,6.1,85.36,maize
85.77,45.32,44.85,25.74,86.23,5.85,188.23,jute
26.91,49.5,88.65,20.8,18.86,6.33,76.31,chickpea
16.29,126.79,200.63,22.75,93.13,6.12,118.03,apple
26.36,9.29,12.65,23.52,92.66,6.89,115.69,orange
126.82,49.31,25.83,24.4,79.65,5.93,72.56,cotton
97.11,51.61,37.93,24.41,88.83,5.71,252.05,rice
25.16,14.82,30.2,27.65,92.61,5.9,186.74,coconut
22.1,142.71,199.11,27.88,81.87,5.98,66.51,grapes
16.22,60.54,18.42,21.17,63.63,6.17,49.19,lentil
117.46,32.7,52.02,25.41,88.79,6.45,47.38,watermelon
34.61,138.14,198.08,14.27,80.77,6.03,65.63,grapes
21.73,136.67,193.49,27.94,81.62,5.81,77.2,grapes
20.01,67.71,21.53,30.94,65.42,7.19,62.3,blackgram
29.61,28.82,45.54,22.08,97.34,5.86,101.45,pomegranate
58.85,77.15,84.44,17.88,17.21,5.59,82.42,chickpea
22.39,23.71,29.89,27.27,91.88,6.2,170.33,coconut
66.28,37.42,23.68,22.03,61.65,6.64,77.43,maize
18.74,53.34,19.12,23.32,66.79,5.73,37.4,lentil
35.61,119.85,197.08,21.15,80.83,5.92,71.65,grapes
107.82,24.51,49.97,24.67,84.25,6.31,48.94,watermelon
83.02,43.44,37.67,25.48,81.09,5.8,157.02,jute
108.55,30.84,30.82,26.58,60.45,7.12,182.68,coffee
103.3,35.52,30.12,23.23,51.5,7.03,167.87,coffee
26.03,67.74,16.38,17.98,20.92,6.08,71.1,kidneybeans
72.43,56.72,36.38,24.67,76.52,5.71,171.5,jute
18.72,46.62,20.77,26.95,55.14,7.44,50.3,mothbeans
24.35,66.99,20.87,17.65,19.99,5.75,71.41,kidneybeans
92.25,91.05,54.92,26.43,83.12,5.74,110.38,banana
25.61,65.44,21.83,19.09,21.47,5.81,65.81,kidneybeans
32.32,20.31,34.37,29.6,94.14,6.63,185.55,coconut
56.23,62.65,45.05,31.33,93.69,6.78,82.18,papaya
46.39,55.03,49.81,31.77,90.74,6.68,139.87,papaya
20.87,48.55,22.36,30.13,79.21,7.03,51.81,mungbean
21.4,24.8,45.93,31.38,51.84,5.75,85.76,mango
25.44,31.84,44.08,21.4,85.75,5.95,110.94,pomegranate
112.13,29.0,48.46,26.4,88.02,6.57,44.12,watermelon
36.65,73.73,20.7,21.58,21.56,5.8,84.34,kidneybeans
69.35,45.59,18.48,22.08,65.28,6.45,84.12,maize
35.98,129.4,192.19,22.77,92.81,5.85,116.08,apple
39.63,71.62,22.73,28.13,60.08,6.74,66.47,blackgram
48.97,65.82,81.93,16.85,15.92,6.17,72.6,chickpea
18.5,127.24,199.33,31.52,82.14,6.08,67.82,grapes
22.73,132.15,193.99,15.85,80.88,6.51,69.49,grapes
113.66,78.56,51.44,26.31,79.54,5.81,113.33,banana
123.78,58.46,23.36,23.77,81.18,6.13,100.55,cotton
91.75,48.39,41.03,22.51,82.94,5.84,247.35,rice
25.63,30.18,40.83,21.74,89.89,5.9,109.43,pomegranate
19.99,47.12,17.35,26.38,83.25,6.98,56.31,mungbean
95.26,100.89,51.81,30.65,83.49,6.06,106.51,banana
77.09,43.34,38.54,27.04,81.13,5.5,168.5,jute
18.25,40.42,20.88,28.44,82.88,6.57,46.09,mungbean
79.51,51.72,17.19,23.36,65.83,6.43,88.61,maize
39.81,65.07,94.53,19.95,15.84,6.4,72.71,chickpea
44.2,61.95,84.77,19.72,16.44,6.9,77.0,chickpea
32.48,64.84,94.68,19.11,14.84,6.59,74.99,chickpea
24.75,130.8,196.82,23.87,93.12,5.76,114.05,apple
86.8,59.16,42.95,22.68,80.72,6.26,236.56,rice
26.98,58.44,17.7,16.74,21.31,5.76,75.98,kidneybeans
59.21,67.26,57.36,34.82,91.67,6.81,131.02,papaya
98.79,33.3,27.6,25.22,58.99,6.29,169.75,coffee
41.65,58.86,18.79,32.1,62.37,5.8,63.86,blackgram
31.29,80.35,17.17,19.33,19.61,5.82,73.52,kidneybeans
26.76,31.24,39.27,30.76,50.71,6.35,100.83,mango
16.57,29.86,47.3,33.95,47.84,6.46,93.42,mango
31.91,21.91,30.64,25.34,93.06,5.71,139.66,coconut
52.63,48.44,47.59,29.24,91.67,6.58,155.68,papaya
19.7,132.09,196.24,22.7,90.61,5.83,108.27,apple
31.54,63.48,93.94,18.67,16.39,5.89,83.18,chickpea
16.36,25.82,43.95,19.44,92.32,5.59,107.11,pomegranate
34.92,66.58,84.67,20.45,17.49,6.36,84.67,chickpea
103.07,27.19,50.54,28.87,92.57,6.5,27.99,muskmelon
0.0,141.32,200.48,24.0,94.05,6.39,117.99,apple
91.75,26.7,52.79,27.62,92.31,6.07,24.02,muskmelon
95.7,37.58,46.83,27.76,91.64,6.29,24.33,muskmelon
29.81,22.58,30.11,30.73,50.6,6.68,84.76,mango
25.15,25.0,49.5,33.69,48.98,5.09,85.6,mango
111.59,58.02,16.28,24.72,79.75,6.96,83.41,cotton
27.3,4.5,27.43,27.71,95.34,5.94,193.3,coconut
29.62,32.78,39.09,21.07,90.74,6.51,99.86,pomegranate
105.47,48.99,39.46,25.42,87.06,6.06,279.16,rice
103.95,18.95,48.85,28.37,90.58,6.08,23.5,muskmelon
101.02,23.56,30.24,22.63,60.85,5.84,188.6,coffee
31.92,53.19,49.87,34.83,90.86,6.73,107.32,papaya
22.6,57.77,20.9,26.27,44.77,6.78,53.54,mothbeans
89.5,38.22,13.62,24.6,58.17,6.17,70.37,maize
22.84,28.64,30.04,32.26,50.38,4.81,99.98,mango
98.86,36.99,51.68,28.73,92.0,6.35,28.51,muskmelon
26.89,66.29,18.11,32.48,66.55,5.45,131.63,pigeonpeas
27.61,46.72,22.12,29.36,81.06,6.95,59.38,mungbean
97.97,24.98,32.14,25.74,71.28,6.81,168.11,coffee
12.25,121.07,196.77,30.66,82.19,6.4,63.62,grapes
19.13,14.62,27.08,25.24,96.8,6.06,185.24,coconut
111.33,47.77,22.67,23.65,74.37,6.18,78.44,cotton
20.06,70.33,17.54,27.78,54.47,5.54,155.11,pigeonpeas
102.03,46.22,36.44,22.37,82.3,6.38,266.45,rice
37.31,132.22,195.89,23.49,92.46,6.06,112.23,apple
20.96,19.6,38.28,21.43,86.31,6.61,110.28,pomegranate
103.86,25.25,29.45,26.94,56.54,7.04,193.89,coffee
37.08,57.73,93.02,18.92,16.73,7.45,82.24,chickpea
132.8,57.13,17.86,24.11,81.69,6.82,87.18,cotton
83.52,49.43,38.29,25.01,87.64,5.76,150.6,jute
17.76,28.83,34.95,31.57,53.35,5.31,88.25,mango
96.15,69.55,52.92,25.14,77.86,5.9,106.36,banana
41.93,57.14,47.99,41.68,93.49,6.82,209.89,papaya
10.34,129.57,200.04,21.09,93.15,5.86,111.29,apple
30.78,77.6,85.49,20.22,19.28,6.62,76.76,chickpea
106.16,52.97,39.23,24.07,81.87,6.1,234.45,rice
24.3,75.79,16.78,20.86,44.16,6.4,104.42,pigeonpeas
13.5,46.27,20.75,28.35,31.17,5.3,49.52,mothbeans
9.0,42.14,17.18,29.18,80.48,7.05,45.7,mungbean
84.41,43.45,35.22,24.78,73.22,6.05,160.16,jute
14.48,40.68,42.42,21.4,91.47,6.61,114.73,pomegranate
30.32,135.62,198.28,7.2,82.02,6.31,69.48,grapes
27.52,46.08,17.94,26.56,60.37,6.75,55.87,mothbeans
77.29,38.18,39.0,24.9,76.86,6.17,186.49,jute
86.59,60.06,19.56,20.7,58.1,5.98,84.59,maize
17.78,13.54,24.36,29.51,98.99,5.75,179.87,coconut
79.01,53.24,19.27,23.1,66.61,6.0,97.4,maize
35.5,67.5,91.26,17.56,13.56,6.04,70.84,chickpea
88.29,83.76,46.11,26.57,76.44,6.12,100.38,banana
92.07,49.46,37.41,22.53,82.01,6.49,241.06,rice
13.38,26.9,32.98,27.15,95.77,6.0,229.38,coconut
70.89,55.15,39.04,25.85,82.68,5.78,167.66,jute
26.98,24.01,37.34,30.64,48.74,4.8,99.63,mango
110.55,32.69,52.92,27.75,90.97,6.22,28.34,muskmelon
13.6,131.95,194.83,22.67,92.37,6.05,109.63,apple
110.57,88.54,51.8,29.68,79.79,6.16,102.08,banana
30.49,69.3,15.86,22.94,48.77,5.81,116.09,pigeonpeas
44.35,69.0,23.13,31.97,67.42,6.87,58.05,blackgram
25.54,16.82,16.37,14.31,89.65,6.89,112.34,orange
38.52,64.59,77.53,19.51,16.2,5.81,58.5,chickpea
99.48,27.11,49.14,25.67,83.52,6.82,47.07,watermelon
79.75,83.49,50.08,26.36,82.48,6.19,106.49,banana
19.5,140.38,198.17,21.9,91.61,6.15,120.62,apple
42.25,73.33,78.64,17.24,14.71,6.72,75.86,chickpea
109.9,30.29,25.5,25.07,71.52,6.89,179.6,coffee
10.98,65.07,20.48,29.63,44.9,5.77,81.0,pigeonpeas
9.9,18.24,8.31,23.57,91.07,6.41,118.02,orange
21.65,135.95,193.27,23.45,90.55,6.53,109.93,apple
19.03,18.41,28.93,25.71,100.48,5.7,189.95,coconut
63.45,53.74,51.77,34.35,90.46,6.64,137.13,papaya
85.78,30.11,50.04,25.95,85.16,6.64,44.45,watermelon
23.86,50.83,22.1,30.44,52.93,8.17,47.64,mothbeans
34.09,60.77,51.51,31.22,90.63,6.75,144.6,papaya
51.97,63.69,86.66,19.01,15.82,6.49,79.09,chickpea
24.98,20.92,49.97,24.71,87.83,6.46,113.75,pomegranate
28.61,73.99,87.03,19.67,15.39,5.67,86.13,chickpea
59.43,60.29,48.48,40.51,90.8,6.74,195.76,papaya
38.64,74.86,20.34,17.09,64.1,7.26,43.85,lentil
25.5,120.5,197.43,22.47,91.84,5.74,110.71,apple
23.92,23.76,42.62,21.63,88.92,6.73,104.15,pomegranate
39.72,78.58,97.88,18.54,16.1,6.43,72.51,chickpea
10.08,29.58,33.12,32.79,51.46,6.55,87.46,mango
51.4,75.73,86.76,16.88,16.09,6.74,79.83,chickpea
28.17,21.5,41.12,22.0,87.09,6.12,105.7,pomegranate
89.25,17.15,51.69,24.54,84.17,6.61,47.25,watermelon
29.0,70.62,21.18,18.63,22.11,5.81,69.53,kidneybeans
33.62,49.35,23.17,29.86,78.16,6.25,47.24,mungbean
98.67,26.54,50.29,28.5,91.14,6.78,25.74,muskmelon
108.77,22.66,53.13,26.35,85.26,6.39,43.85,watermelon
19.19,66.32,22.3,18.28,23.27,5.57,84.85,kidneybeans
113.16,23.51,44.85,28.82,94.09,6.73,23.34,muskmelon
29.53,24.94,34.65,32.23,50.27,6.37,98.22,mango
109.69,46.49,39.18,22.81,81.34,5.86,247.83,rice
45.43,67.52,23.07,32.46,61.5,6.97,63.97,blackgram
40.89,68.73,83.64,18.68,17.92,6.7,78.95,chickpea
124.05,83.86,48.84,24.44,81.17,6.45,103.76,banana
31.48,67.54,16.17,32.88,64.49,7.17,62.37,blackgram
17.91,60.29,22.84,29.11,40.62,5.89,119.23,pigeonpeas
43.49,52.76,49.43,34.38,92.1,6.89,171.67,papaya
38.16,67.62,20.56,30.79,37.31,6.81,156.07,pigeonpeas
13.13,41.62,18.6,26.95,82.68,6.66,46.64,mungbean
27.39,10.72,33.17,24.02,94.78,6.29,154.31,coconut
120.55,41.69,13.5,25.35,81.8,6.45,73.93,cotton
32.66,129.35,196.23,33.17,82.65,5.83,62.52,grapes
23.35,124.33,191.77,22.34,92.79,5.9,102.09,apple
26.0,66.91,19.17,23.07,61.13,6.35,44.8,lentil
89.5,76.42,48.87,25.18,80.56,5.51,99.41,banana
89.94,47.91,38.84,24.82,71.27,5.95,183.61,jute
31.85,135.36,194.9,22.76,90.9,6.23,112.04,apple
27.87,15.16,41.01,21.43,87.25,6.92,105.73,pomegranate
15.21,130.9,196.49,21.68,96.0,5.88,98.64,apple
24.38,49.02,22.38,30.16,81.78,6.68,57.55,mungbean
88.07,11.25,52.54,27.53,92.28,6.69,23.46,muskmelon
92.65,21.86,34.42,26.7,50.69,6.46,178.03,coffee
99.23,30.89,29.93,25.07,59.63,6.76,171.19,coffee
36.08,60.2,20.54,22.29,44.11,5.23,131.76,pigeonpeas
76.39,52.29,43.58,25.8,84.61,6.23,181.89,jute
33.01,64.67,18.82,18.97,20.34,5.74,111.25,kidneybeans
112.24,72.68,47.67,22.5,78.04,6.19,102.93,banana
84.73,49.1,22.46,26.25,70.07,5.56,69.01,maize
74.85,44.72,37.89,23.26,85.7,6.24,159.08,jute
104.55,43.51,18.67,21.1,62.22,6.01,99.86,maize
43.09,76.98,21.51,27.84,47.88,5.16,152.32,pigeonpeas
16.99,22.81,38.96,28.31,52.64,5.42,93.06,mango
37.27,62.38,23.83,19.37,18.9,5.8,58.75,kidneybeans
33.78,14.01,39.99,19.75,85.61,6.29,119.03,pomegranate
100.52,32.84,49.5,25.79,84.9,6.48,48.47,watermelon
38.3,77.73,19.54,29.95,63.79,7.16,74.8,blackgram
76.91,48.89,18.8,25.33,60.53,6.18,79.5,maize
99.34,43.94,38.37,23.58,82.85,5.61,270.19,rice
20.33,51.14,21.24,30.14,36.0,3.15,56.44,mothbeans
21.2,55.23,20.87,15.76,21.14,5.72,93.49,kidneybeans
23.01,21.86,48.49,32.61,47.87,6.29,98.85,mango
127.46,47.28,17.99,23.08,83.96,6.61,99.44,cotton
53.24,50.5,48.17,28.99,91.59,6.71,131.01,papaya
34.28,49.87,17.58,27.38,40.39,5.6,57.34,mothbeans
121.68,50.34,17.45,24.36,79.43,6.36,72.76,cotton
44.0,50.82,20.37,30.98,91.29,7.08,59.74,mungbean
25.51,22.61,5.98,23.03,92.41,7.36,109.06,orange
74.11,44.29,43.43,23.73,76.66,5.86,174.8,jute
32.86,56.12,18.24,26.52,69.26,6.71,63.27,blackgram
29.97,54.93,24.62,30.55,86.86,6.53,49.22,mungbean
95.12,38.73,31.1,25.71,69.93,5.87,164.81,coffee
96.38,91.47,45.43,22.88,80.22,5.89,105.04,banana
19.52,72.24,21.71,36.28,48.24,6.17,152.94,pigeonpeas
42.08,50.04,50.8,32.92,92.26,6.93,173.83,papaya
20.69,102.91,196.5,22.84,92.94,6.23,110.08,apple
19.1,26.53,45.06,23.18,86.93,7.07,113.84,pomegranate
80.34,42.69,20.58,19.0,66.65,6.56,60.08,maize
12.46,44.0,37.6,32.53,51.54,6.19,94.3,mango
26.65,8.54,34.82,27.37,94.64,5.76,185.54,coconut
4.24,130.95,198.86,23.37,92.73,5.66,106.5,apple
21.27,71.1,16.23,24.55,66.13,6.89,41.15,lentil
83.75,39.5,37.87,26.14,81.55,5.86,164.27,jute
17.26,51.22,18.53,27.74,45.54,4.31,44.16,mothbeans
9.0,76.2,21.68,19.5,61.3,6.88,41.31,lentil
34.8,6.88,31.96,25.92,99.71,5.61,210.93,coconut
33.56,50.38,22.97,33.85,63.62,6.65,61.23,blackgram
71.91,35.85,45.61,24.56,85.68,5.81,194.23,jute
22.45,50.63,16.61,29.78,84.57,7.01,45.32,mungbean
112.75,51.92,16.55,24.63,84.45,6.46,86.38,cotton
101.7,30.26,51.59,25.14,83.67,6.66,50.18,watermelon
22.74,125.17,197.12,23.52,91.95,6.15,112.73,apple
33.84,123.69,196.33,13.7,81.26,6.13,67.53,grapes
22.5,15.21,28.41,27.67,94.19,6.13,148.5,coconut
26.75,137.69,199.84,23.56,83.35,5.41,75.2,grapes
102.19,21.43,47.91,24.68,91.92,6.44,40.28,watermelon
99.67,39.66,39.78,21.22,86.67,5.89,211.8,rice
21.57,23.19,37.34,35.28,52.93,4.96,101.45,mango
16.33,32.03,42.63,36.76,57.16,5.19,109.12,mango
101.26,30.67,29.0,27.12,58.0,6.02,170.11,coffee
33.4,27.12,41.23,21.43,90.05,5.95,112.89,pomegranate
105.72,84.98,52.33,27.19,79.22,5.8,103.76,banana
25.76,137.71,203.46,19.18,82.8,6.19,71.53,grapes
78.21,53.5,39.09,23.53,79.18,5.79,181.15,jute
12.37,7.42,12.53,14.22,95.13,5.97,106.0,orange
110.09,42.93,16.89,23.52,78.51,5.36,87.0,cotton
35.44,27.64,36.58,34.03,48.19,5.78,95.63,mango
49.21,65.66,48.22,32.12,89.58,6.97,88.8,papaya
99.23,34.85,48.26,29.9,91.66,6.52,24.3,muskmelon
23.64,33.89,20.45,30.86,33.94,5.8,52.47,mothbeans
64.16,56.4,40.4,24.6,78.11,5.5,182.42,jute
42.83,65.95,97.55,19.49,18.1,6.5,88.8,chickpea
20.71,49.58,22.33,27.55,52.99,9.11,43.13,mothbeans
25.69,28.57,51.99,19.76,87.2,5.97,110.16,pomegranate
106.26,36.13,47.43,26.69,85.71,6.5,46.01,watermelon
29.91,52.57,17.52,28.84,38.58,6.91,40.52,mothbeans
138.0,44.07,17.87,24.3,81.79,6.59,70.38,cotton
57.87,60.37,55.04,33.73,93.22,6.57,101.69,papaya
100.14,31.83,54.03,26.05,84.79,6.84,39.28,watermelon
23.18,35.69,18.86,25.92,40.44,6.53,57.18,mothbeans
107.87,55.79,37.95,25.19,86.03,6.06,296.9,rice
40.52,22.84,34.66,26.71,96.75,6.33,164.83,coconut
21.66,48.21,19.09,23.99,42.09,6.25,54.75,mothbeans
23.18,47.51,22.68,30.54,44.17,6.12,49.58,mothbeans
93.02,57.26,20.08,20.8,67.3,6.0,110.17,maize
94.93,47.64,40.58,20.97,81.48,5.48,233.6,rice
73.07,43.01,22.24,21.84,71.24,6.0,88.49,maize
24.85,15.17,27.29,27.31,96.04,6.13,233.84,coconut
